STATION,WCODE,TMAX,TMIN,ELEVATION
JHABUA,KCRU,22.313,74.365,324
SHAHDOL,OWPN,23.056,81.684,602
GUNA,IMHE,24.608,77.875,452
BALAGHAT,ECLH,21.88,80.361,515
BARWANI,NARE,21.786,75.021,367
BETUL,QDKB,21.877,77.871,614
BHIND,PXXX,26.42,78.723,154
BHOPAL,LZYQ,23.477,77.396,483
EAST_NIMAR,TVAO,21.371,76.37,368
CHHATARPUR,WVUD,24.795,79.666,298
CHHINDWARA,SIKI,22.12,78.856,719
DAMOH,XQOX,23.812,79.527,376
DATIA,JTZR,25.806,78.601,195
DEWAS,UEEH,22.744,76.456,501
DHAR,DOLJ,22.496,75.104,423
DINDORI,ULTW,22.888,81.056,749
EAST_NIMAR,MXTF,21.935,76.571,289
GUNA,YXBI,24.553,77.201,442
HARDA,KFFG,22.233,77.121,325
HOSHANGABAD,KVOE,22.587,77.989,394
INDORE,UUFS,22.712,75.782,541
JABALPUR,OTGP,23.231,79.977,400
JHABUA,URYW,22.889,74.672,386
KATNI,ZZMB,23.753,80.402,419
KHANDWA,KHND,21.8,76.4,323
KHARGONE,KHGN,22,75.1,590
MNADLA,KMLY,22.639,80.513,513
MANDSAUR,EEOK,24.21,75.406,439
MORENA,EQEL,26.413,77.869,187
NARSIMHAPUR,EVKD,22.933,79.087,359
NEEMUCH,PTXI,24.604,75.145,460
PANNA,NNWZ,24.419,80.192,365
RAISEN,FNHR,23.216,78.118,401
RAJGARH,JBLQ,23.86,76.735,422
RATLAM,DCHG,23.5,75.09,486
REWA,IKHD,24.754,81.59,298
SAGAR,JGNC,23.847,78.759,534
SATNA,GSGI,24.532,80.833,335
SEHORE,QBXM,22.99,77.129,484
SEONI,IDWW,22.315,79.69,550
SHAHDOL,LZGH,23.628,81.473,476
SHAJAPUR,SXIY,23.579,76.346,431
SHEOPUR,HQQK,25.751,77.01,392
SHIVPURI,YBEF,25.363,77.805,391
SIDHI,NAEG,24.219,81.835,391
SIDHI,DRHR,24.215,82.421,361
TIKAMGARH,GBNS,24.987,78.947,299
UJJAIN,RLKL,23.331,75.668,490
UMARIA,QVQU,23.563,80.972,468
VIDISHA,HTXG,23.892,77.813,445
WEST_NIMAR,HSQW,21.919,75.775,274
GWALIOR,WUZV,26.038,78.146,255
